0	15
1	4
1	64
1	53
2	13
3	6
3	58
3	53
4	5
4	1
4	33
5	10
5	4
5	6
6	3
6	23
6	5
7	22
7	8
8	7
8	27
9	12
9	10
9	34
10	5
10	9
10	11
11	24
11	10
11	14
12	9
12	35
12	13
13	2
13	12
13	14
14	13
14	31
14	11
15	0
15	30
16	31
17	58
17	20
17	59
18	29
19	52
19	59
19	22
20	17
20	23
20	21
21	22
21	26
21	20
22	19
22	21
22	7
23	6
23	24
23	20
24	25
24	11
24	23
25	24
25	26
25	28
26	21
26	25
26	27
27	8
27	26
27	30
28	25
28	31
28	29
29	18
29	28
29	30
30	27
30	29
30	15
31	14
31	16
31	28
32	35
33	4
33	34
33	42
34	47
34	33
34	9
35	50
35	12
35	32
36	51
37	40
37	67
37	66
38	49
39	64
39	42
39	67
40	41
40	43
40	37
41	46
41	40
41	42
42	41
42	33
42	39
43	44
43	40
44	43
44	45
45	46
45	48
45	44
46	41
46	45
46	47
47	50
47	34
47	46
48	51
48	49
48	45
49	50
49	38
49	48
50	47
50	49
50	35
51	48
51	36
52	19
52	57
53	3
53	1
53	55
54	55
54	65
55	54
55	53
55	56
56	63
56	55
57	62
57	52
58	63
58	17
58	3
59	17
59	61
59	19
60	63
60	61
61	59
61	62
61	60
62	61
62	57
63	58
63	60
63	56
64	65
64	39
64	1
65	54
65	64
65	70
66	37
66	71
67	69
67	37
67	39
68	71
68	69
69	70
69	68
69	67
70	69
70	65
71	68
71	66
