0	27
0	7
0	1
1	2
1	4
1	0
2	1
2	3
2	5
3	2
3	6
3	40
4	58
4	1
4	59
5	22
5	20
5	2
6	3
6	58
6	65
7	14
7	0
7	20
8	9
8	15
9	10
9	8
9	12
10	13
10	11
10	9
11	16
11	14
11	10
12	9
12	29
12	31
13	10
14	11
14	7
14	29
15	8
16	23
16	11
16	17
17	16
17	18
17	20
18	21
18	19
18	17
19	22
19	18
19	32
20	7
20	17
20	5
21	18
22	19
22	47
22	5
23	16
24	25
24	31
25	28
25	26
25	24
26	29
26	25
26	27
27	26
27	30
27	0
28	52
28	53
28	25
29	12
29	14
29	26
30	27
30	52
30	59
31	12
31	24
32	19
32	39
32	33
33	36
33	34
33	32
34	37
34	33
34	35
35	38
35	34
36	45
36	47
36	33
37	34
38	35
38	45
39	32
40	3
40	41
40	47
41	40
41	42
41	44
42	43
42	41
42	45
43	46
43	42
44	64
44	65
44	41
45	38
45	36
45	42
46	64
46	43
47	40
47	36
47	22
48	49
48	53
49	48
49	50
50	51
50	49
50	52
51	50
51	54
52	50
52	28
52	30
53	28
53	48
54	55
54	51
54	59
55	56
55	54
56	58
56	57
56	55
57	60
57	56
58	56
58	4
58	6
59	4
59	30
59	54
60	61
60	57
60	65
61	62
61	60
62	64
62	63
62	61
63	62
64	44
64	62
64	46
65	44
65	6
65	60
